NAMESPACE     LAST SEEN   TYPE      REASON                           OBJECT                                        MESSAGE
produccion    116m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "1f5ae8362ba241611b681ae8a468e9530e8374760998c5dd5918c4dfc1b37311": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.173.59.97:443: i/o timeout
produccion    116m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "062bb9f671c08a759ebabe8f108ce065fb3f61a502c03cf712d10ba73e965095": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 107.23.123.43:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "1cbd7dc2b250475c42c328bdf6421c4080f5fdbc13038fcaa6e8d7f2fa99f6b6": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         116m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "65e0ed28c767ebc456e4b47ec874f7f77aeb7e2607ef27b60ae6edc068a622b8": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 34.202.83.64:443: i/o timeout
produccion    116m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "431560515040078b11aff1f73f6afe8659e607c21c7e3efd5147f2d0b3210b1c": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 34.202.83.64:443: i/o timeout
kube-system   116m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "0650dd0966177a60a150646d08fe671e2095fc67017f459da687401a2dfb9726": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "87b543322bb42af50d5175f2d6ac5c8f32f51263a92b382b01f3dabce199e308": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    116m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "e7a18f8edba5c2749a21993a9a7a4003538b5c9b80f96e8e7361c2839187ae19": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "04529962c0ce29d5b9453d9d22472cad9c9ca042d49ba55c22fdbddc1b624671": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         116m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "a06fa8a30dfa716cee03d7134f2f93a3dff29031c36f74f752b50356d10aa23c": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "06c68314916b6557954ccdfc5fcda6df4eb3a0d340ea904db9d3a04220a12ab7": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "afa46876f7e1e8bb3aef823926fd9261b979d3556c8e8b67d69f4aa0f56940ea": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    116m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "7f79b6e71b4b27d948ffde8cd77d3041c3328a5af65ea5004d6a5fa5128d203e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         116m        Warning   FailedCreatePodSandBox           pod/falco-2r47x                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "6361fec588322d7a9b0aff77770084b094002903f60a69267f05180b6e80444c": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    116m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "7f0f7f0d1a957e56267bbab3fe24d7c9b67ec42f17061dc95b3e755a0e9a1a17": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   116m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "457251e6f437414a194bd477310f29ca174f26ef8bd3e0a45d09a7a171cffbf3": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
falco         115m        Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "202de646180bc7ba1d6e904aacb319c4b463a0e35a549d1d3e2761f1fe08864e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   115m        Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "9b59634f41cfa110652ec98cc0a5377e8d3edf175beaa06b60c81c244d8ffa4d": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    115m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "3de1383d054f7b365fb000ddad7372bb1608477c5812d6dbd6faf19b99a7158e": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   115m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "8e1aa1110b73ad68f97952fa52a40eb70c393f4d163315e0b8c1b9b056457b8d": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   115m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "fc1361876420290499cf28f8c55f3306624027f2caad2c88cb42631168e24ae6": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    115m        Warning   FailedCreatePodSandBox           pod/app-con-db                                Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "01fffdb9b338a30755c1697ad20a3a7a36d0b9863a43a94c21b4dace621dbc33": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    115m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "0cbb9acd15ea536b1c2913916b6ac1b6e2308e5ccf664f052f53f6d89c66b45d": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   115m        Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "816a0c02404019e8930d5f446176a1fcb5ef3d8dd9282e0b923e1e6828d64ab1": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
kube-system   115m        Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "a7ed7cdd90c1aee13859103ed069fc3471717208fc9d24a4c35f19e0f23eadd7": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
produccion    115m        Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "dc35e8e152846d4d3bef97acf63d795222e907350b8201fdc2b7436ccff90b55": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp: lookup registry-1.docker.io: Try again
default       104m        Warning   FreeDiskSpaceFailed              node/vm2-monitor                              Insufficient free disk space on the node's image filesystem (88% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
default       104m        Warning   ImageGCFailed                    node/vm2-monitor                              Insufficient free disk space on the node's image filesystem (88% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
produccion    79m         Normal    SandboxChanged                   pod/webapp-segura-5f5fb6665-dhgpw             Pod sandbox changed, it will be killed and re-created.
produccion    79m         Normal    SandboxChanged                   pod/app-con-db                                Pod sandbox changed, it will be killed and re-created.
kube-system   79m         Normal    SandboxChanged                   pod/svclb-traefik-0c3df9c9-qr84n              Pod sandbox changed, it will be killed and re-created.
falco         79m         Normal    SandboxChanged                   pod/falco-2r47x                               Pod sandbox changed, it will be killed and re-created.
produccion    79m         Normal    SandboxChanged                   pod/webapp-segura-5f5fb6665-csr4n             Pod sandbox changed, it will be killed and re-created.
default       74m         Warning   FreeDiskSpaceFailed              node/vm1-objetivo                             Insufficient free disk space on the node's image filesystem (89% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
default       74m         Warning   ImageGCFailed                    node/vm1-objetivo                             Insufficient free disk space on the node's image filesystem (89% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
default       74m         Warning   ImageGCFailed                    node/vm2-monitor                              Insufficient free disk space on the node's image filesystem (89% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
default       74m         Warning   FreeDiskSpaceFailed              node/vm2-monitor                              Insufficient free disk space on the node's image filesystem (89% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
kube-system   74m         Warning   FailedCreatePodSandBox           pod/local-path-provisioner-5d9d9885bc-cx94j   (combined from similar events): Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "36c701634538ec5d3a683eef4b8538313c607e4e0de3efe5101b219dc7922f46": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
kube-system   74m         Warning   FailedCreatePodSandBox           pod/traefik-9bcdbbd9-k5htg                    (combined from similar events): Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "eebbf82e6c9afa3e2ff398afc04e1f2fb08eb690a012a18d55000c470adab42c": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 54.224.198.86:443: i/o timeout
falco         74m         Warning   FailedCreatePodSandBox           pod/falco-t5wsb                               (combined from similar events): Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "0f62b5c84b49262c7268e6d6f4966495a88f1b63cdff7f7ef0bdff0a3e034473": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.193.22.212:443: i/o timeout
kube-system   74m         Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-6p9x6              (combined from similar events): Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "29662345d0be62580befeee15b812edc12767e16b1eabf894a8878dd1087cd66": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 98.95.192.66:443: i/o timeout
kube-system   74m         Warning   FailedCreatePodSandBox           pod/coredns-8db54c48d-6gjzq                   (combined from similar events): Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "c6588977e59853b5038de845025fd7e374427c606cc887090dd15cf44b75e8f2": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 3.220.138.244:443: i/o timeout
kube-system   74m         Warning   FailedCreatePodSandBox           pod/metrics-server-786d997795-bmqt8           (combined from similar events): Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "72f83cea321eec486cd05d0639ef2d22bb5bc3227609115ef1f4605190fbdf6a": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.193.22.212:443: i/o timeout
kube-system   74m         Normal    SandboxChanged                   pod/local-path-provisioner-5d9d9885bc-cx94j   Pod sandbox changed, it will be killed and re-created.
kube-system   74m         Normal    SandboxChanged                   pod/traefik-9bcdbbd9-k5htg                    Pod sandbox changed, it will be killed and re-created.
kube-system   74m         Normal    SandboxChanged                   pod/metrics-server-786d997795-bmqt8           Pod sandbox changed, it will be killed and re-created.
kube-system   74m         Normal    SandboxChanged                   pod/svclb-traefik-0c3df9c9-6p9x6              Pod sandbox changed, it will be killed and re-created.
kube-system   74m         Normal    SandboxChanged                   pod/coredns-8db54c48d-6gjzq                   Pod sandbox changed, it will be killed and re-created.
produccion    74m         Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-dhgpw             (combined from similar events): Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "28aba7ac87053b029ac5c97f64176128a614bfe1d39fd19da7803c6308b52ae9": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 98.95.192.66:443: i/o timeout
produccion    74m         Warning   FailedCreatePodSandBox           pod/app-con-db                                (combined from similar events): Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "66ea8d02cecca9cc7a3829d08ce35929118d4ae3777b23ee595c684167f86f9c": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 52.0.123.164:443: i/o timeout
kube-system   74m         Warning   FailedCreatePodSandBox           pod/svclb-traefik-0c3df9c9-qr84n              (combined from similar events): Failed to create pod sandbox: rpc error: code = Unknown desc = failed to start sandbox "284b78c584a468ad5cf2c776478da5bddef9bc70065a29087cef20353a9a5ba4": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 32.193.22.212:443: i/o timeout
produccion    74m         Warning   FailedCreatePodSandBox           pod/webapp-segura-5f5fb6665-csr4n             (combined from similar events): Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "7daa2736330f53f16bca91f3511cb93a84c292e0acf786bd5e5b2d2df1a992be": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 98.85.216.201:443: i/o timeout
falco         74m         Warning   FailedCreatePodSandBox           pod/falco-2r47x                               (combined from similar events): Failed to create pod sandbox: rpc error: code = DeadlineExceeded desc = failed to start sandbox "e7a99f7fc31aa338e8f6dc472ac0045711683f8fba182265216d1672ee9a0509": failed to get sandbox image "rancher/mirrored-pause:3.6": failed to pull image "rancher/mirrored-pause:3.6": failed to pull and unpack image "docker.io/rancher/mirrored-pause:3.6": failed to resolve reference "docker.io/rancher/mirrored-pause:3.6": failed to do request: Head "https://registry-1.docker.io/v2/rancher/mirrored-pause/manifests/3.6": dial tcp 3.220.138.244:443: i/o timeout
default       67m         Normal    CertificateExpirationOK          node/vm1-objetivo                             Node and Certificate Authority certificates managed by k3s are OK
default       67m         Normal    Starting                         node/vm1-objetivo                             Starting kubelet.
default       67m         Normal    NodeHasSufficientMemory          node/vm1-objetivo                             Node vm1-objetivo status is now: NodeHasSufficientMemory
default       67m         Warning   Rebooted                         node/vm1-objetivo                             Node vm1-objetivo has been rebooted, boot id: 729364d3-7699-4c22-9582-6b03aa5ae353
kube-system   67m         Normal    EnsuringLoadBalancer             service/traefik                               Ensuring load balancer
kube-system   67m         Warning   UnAvailableLoadBalancer          service/traefik                               There are no available nodes for LoadBalancer
default       67m         Normal    NodeAllocatableEnforced          node/vm1-objetivo                             Updated Node Allocatable limit across pods
default       67m         Warning   FreeDiskSpaceFailed              node/vm1-objetivo                             Insufficient free disk space on the node's image filesystem (89% of 9.7 GiB used). Failed to free sufficient space by deleting unused images (freed 0 bytes). Investigate disk usage, as it could be used by active images, logs, volumes, or other data.
default       67m         Normal    NodeHasSufficientPID             node/vm1-objetivo                             Node vm1-objetivo status is now: NodeHasSufficientPID
default       67m         Normal    NodeHasNoDiskPressure            node/vm1-objetivo                             Node vm1-objetivo status is now: NodeHasNoDiskPressure
kube-system   67m         Normal    AppliedDaemonSet                 service/traefik                               Applied LoadBalancer DaemonSet kube-system/svclb-traefik-0c3df9c9
default       67m         Normal    RegisteredNode                   node/vm2-monitor                              Node vm2-monitor event: Registered Node vm2-monitor in Controller
kube-system   67m         Normal    SandboxChanged                   pod/coredns-8db54c48d-6gjzq                   Pod sandbox changed, it will be killed and re-created.
default       67m         Normal    RegisteredNode                   node/vm1-objetivo                             Node vm1-objetivo event: Registered Node vm1-objetivo in Controller
kube-system   67m         Normal    ApplyingManifest                 addon/ccm                                     Applying manifest at "/var/lib/rancher/k3s/server/manifests/ccm.yaml"
kube-system   67m         Normal    SandboxChanged                   pod/metrics-server-786d997795-bmqt8           Pod sandbox changed, it will be killed and re-created.
kube-system   67m         Normal    SandboxChanged                   pod/traefik-9bcdbbd9-k5htg                    Pod sandbox changed, it will be killed and re-created.
kube-system   67m         Normal    SandboxChanged                   pod/svclb-traefik-0c3df9c9-6p9x6              Pod sandbox changed, it will be killed and re-created.
kube-system   67m         Normal    SandboxChanged                   pod/local-path-provisioner-5d9d9885bc-cx94j   Pod sandbox changed, it will be killed and re-created.
falco         67m         Normal    SandboxChanged                   pod/falco-t5wsb                               Pod sandbox changed, it will be killed and re-created.
kube-system   67m         Normal    ApplyingManifest                 addon/coredns                                 Applying manifest at "/var/lib/rancher/k3s/server/manifests/coredns.yaml"
default       67m         Normal    NodePasswordValidationComplete   node/vm1-objetivo                             Deferred node password secret validation complete
